time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/learning_rate,train/n_updates,train/approx_kl,train/loss,train/entropy_loss,train/value_loss,train/clip_fraction
2,2048,1,985,3.57,-1.8465999999999996,,,,,,,,,,
6,4096,2,682,3.71,-1.7882999999999998,-0.03286404272657819,0.2,-0.09416913986206055,0.0003,10,0.02811606,0.06921117007732391,-1.5969478212296964,0.3421101172047202,0.1962890625
10,6144,3,604,4.1,-1.6130999999999998,-0.03895058147609234,0.2,0.001961231231689453,0.0003,20,0.02035055,0.09223169088363647,-1.540884667634964,0.3269872194621712,0.265087890625
15,8192,4,542,4.55,-1.1798,-0.048519506311276925,0.2,0.028923213481903076,0.0003,30,0.023526145,0.3020115792751312,-1.4544667929410935,0.5537946691270917,0.2630859375
19,10240,5,538,4.63,-0.8024999999999999,-0.04977076141803991,0.2,0.027934610843658447,0.0003,40,0.02344748,0.31470274925231934,-1.3386977683752774,0.742274576984346,0.25068359375
23,12288,6,533,4.78,-0.5452999999999998,-0.04343779593764339,0.2,0.029725968837738037,0.0003,50,0.026405811,0.33992305397987366,-1.2109999932348727,0.7512669706717133,0.164013671875
27,14336,7,518,4.82,-0.4262999999999998,-0.025715802039485425,0.2,0.02517414093017578,0.0003,60,0.01259345,0.22211360931396484,-1.0971579695120455,0.5364332752302289,0.11416015625
31,16384,8,519,4.9,-0.3673999999999999,-0.022181353520136327,0.2,0.014305531978607178,0.0003,70,0.012098726,0.22973670065402985,-1.02404302675277,0.4352450444828719,0.134619140625
35,18432,9,520,4.94,-0.2682999999999999,-0.018443237905739807,0.2,0.002467632293701172,0.0003,80,0.008687709,0.09484337270259857,-0.9833409620448947,0.2833639507764019,0.13349609375
39,20480,10,520,5.0,-0.06989999999999999,-0.014886503445450217,0.2,0.0009019374847412109,0.0003,90,0.015036086,0.08357533812522888,-0.9637918783351779,0.21505410957615823,0.1626953125
44,22528,11,509,4.96,-0.1292,-0.017557486350415274,0.2,0.011224985122680664,0.0003,100,0.011809952,0.060327738523483276,-0.9263039045035839,0.15206262230349238,0.195263671875
48,24576,12,510,5.0,-0.04999999999999999,-0.011770213238924044,0.2,-0.008724093437194824,0.0003,110,0.016334252,0.01834256760776043,-0.8939530061557889,0.08966995246682927,0.211181640625
52,26624,13,511,4.99,-0.0897,-0.006267337547615171,0.2,-0.017828941345214844,0.0003,120,0.012227617,0.05619662627577782,-0.882272844389081,0.05999895862132689,0.151611328125
56,28672,14,503,4.98,-0.10950000000000001,-0.011680250050267205,0.2,0.005680680274963379,0.0003,130,0.012854049,0.023910563439130783,-0.8729458939284086,0.09152696794262738,0.2283203125
60,30720,15,504,4.97,-0.1094,-0.008532225384988124,0.2,-0.016478300094604492,0.0003,140,0.012231125,0.03419545292854309,-0.8446133121848106,0.04593203346566952,0.18349609375
64,32768,16,505,4.98,-0.08960000000000001,-0.00570394047681475,0.2,0.004800140857696533,0.0003,150,0.008897308,0.031128911301493645,-0.853516536578536,0.05980381946756097,0.144189453125
68,34816,17,506,4.97,-0.06959999999999997,-0.006082158628851175,0.2,0.016143500804901123,0.0003,160,0.011471899,0.022003766149282455,-0.8338808953762055,0.03191769048705737,0.154150390625
73,36864,18,501,4.99,-0.06979999999999999,-0.003490921611955855,0.2,-0.0033338069915771484,0.0003,170,0.01767221,0.04541470482945442,-0.7879152359440923,0.0192046698186914,0.1748046875
77,38912,19,502,4.98,-0.08960000000000001,-0.008705404029751663,0.2,0.005977332592010498,0.0003,180,0.009025747,0.001321054995059967,-0.7967771105468273,0.0421857593137247,0.1634765625
81,40960,20,503,4.98,-0.06969999999999998,-0.007917751857894473,0.2,0.008566856384277344,0.0003,190,0.01342562,-0.014052800834178925,-0.80609609503299,0.05334651051853143,0.183251953125
85,43008,21,501,4.98,-0.10949999999999999,-0.009250051470007747,0.2,0.016960501670837402,0.0003,200,0.01333327,0.019091136753559113,-0.7823899984359741,0.035529834360113456,0.209814453125
90,45056,22,500,5.0,-0.06989999999999999,-0.005702372042287606,0.2,0.007466316223144531,0.0003,210,0.009851124,-0.01603148877620697,-0.7297568714246154,0.03326274459477645,0.171923828125
93,47104,23,501,5.0,-0.04999999999999999,-0.006841898836137261,0.2,-0.0053528547286987305,0.0003,220,0.020210043,-0.029879989102482796,-0.7299371646717191,0.044565980523930196,0.1943359375
97,49152,24,502,5.0,-0.04999999999999999,-0.012934513873187826,0.2,-0.08621537685394287,0.0003,230,0.019884871,-0.0031931353732943535,-0.7301112255081534,0.007880013905111127,0.281689453125
102,51200,25,498,5.0,-0.04999999999999999,-0.002952237814315595,0.2,0.006778597831726074,0.0003,240,0.0142793665,0.002900652587413788,-0.7222071643918753,0.032026183754123846,0.110595703125
