time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/loss,train/clip_range
2048,1,1069,4.87,1,14.015999959999998,,,,,,,,,,
4096,2,677,4.86,6,16.71133325,0.0003,10,33.74683928489685,0.0002180933952331543,0.42861328125,-4.344930604100227,-0.05635200012184214,0.027892329,15.74323844909668,0.2
6144,3,610,4.87,10,17.96666657,0.0003,20,45.02494722008705,0.0015025734901428223,0.432958984375,-4.282502265274525,-0.05166583388345316,0.020400243,19.313440322875977,0.2
8192,4,429,4.79,19,18.861999890000003,0.0003,30,49.90715500712395,0.0014920830726623535,0.444970703125,-4.2168835520744326,-0.054669890593504536,0.018690296,23.86294937133789,0.2
10240,5,441,4.75,23,21.841333249999998,0.0003,40,51.837710440158844,0.07398432493209839,0.253564453125,-4.138083985447883,-0.04328014451602939,0.016408693,25.328327178955078,0.2
12288,6,416,4.79,29,24.905999839999996,0.0003,50,61.54747010469437,0.16448533535003662,0.10576171875,-4.039585151523352,-0.03194667254720116,0.015586019,24.495407104492188,0.2
14336,7,403,4.68,35,25.214666530000002,0.0003,60,52.33620800971985,0.28234440088272095,0.090185546875,-3.9232222214341164,-0.024961569787410553,0.012766404,23.910476684570312,0.2
16384,8,414,4.7,39,25.77866658,0.0003,70,54.13645755052566,0.39528703689575195,0.03681640625,-3.8203479699790477,-0.01924438234709669,0.0092088245,22.133543014526367,0.2
2048,1,980,4.91,2,14.40666659,0.0003,80,51.80315031409263,0.45636218786239624,0.0169921875,-3.7243754588067532,-0.012819201167440042,0.008012801,20.138120651245117,0.2
4096,2,664,4.84,6,17.225333209999995,0.0003,10,33.40231750607491,0.0006186962127685547,0.456787109375,-4.362285600602627,-0.06072223455121275,0.03614859,11.395639419555664,0.2
6144,3,578,4.84,10,19.15933325,0.0003,20,45.6133053779602,0.003164827823638916,0.433740234375,-4.286901603639126,-0.050704973912797865,0.021300651,26.662240982055664,0.2
8192,4,431,4.85,18,21.515999910000005,0.0003,30,55.228014051914215,0.012949526309967041,0.435888671875,-4.1965729802846905,-0.05623447696270887,0.01885371,28.96370506286621,0.2
10240,5,444,4.9,23,23.94466659,0.0003,40,59.01697366833687,0.09950220584869385,0.17177734375,-4.114993144571781,-0.0367430391444941,0.016526412,33.267189025878906,0.2
12288,6,397,4.8,30,25.317333199999997,0.0003,50,54.90345705747605,0.22404193878173828,0.143115234375,-3.9922993324697016,-0.03503003926598467,0.014569511,20.057857513427734,0.2
14336,7,410,4.57,34,25.001333289999998,0.0003,60,56.78610773086548,0.3688817620277405,0.093701171875,-3.883932176977396,-0.022916748738498426,0.014784217,29.427675247192383,0.2
16384,8,420,4.64,38,27.221999880000002,0.0003,70,54.594798755645755,0.4327552318572998,0.093408203125,-3.765054874122143,-0.023919904211652465,0.012374809,23.228994369506836,0.2
2048,1,1037,4.91,1,15.193999949999998,0.0003,80,59.433877396583554,0.3800291419029236,0.059375,-3.665892121940851,-0.015447578483144753,0.010008086,24.69623565673828,0.2
4096,2,680,4.8,6,17.402666559999997,0.0003,10,35.13164308071136,-0.0005789995193481445,0.469091796875,-4.392469915747642,-0.061229800686123784,0.03055635,13.458906173706055,0.2
6144,3,479,4.9,12,19.16733328,0.0003,20,49.574530851840976,0.00122833251953125,0.459033203125,-4.322164396941662,-0.05352059906435898,0.021989316,22.17530632019043,0.2
8192,4,455,4.88,17,23.15666657,0.0003,30,57.35040885210037,0.00024390220642089844,0.481396484375,-4.231385254859925,-0.05252637188823428,0.0206854,27.55251693725586,0.2
10240,5,464,4.8,22,24.346666549999995,0.0003,40,67.07074513435364,0.0038319826126098633,0.38564453125,-4.134851785004139,-0.04182981373160146,0.019180287,25.697256088256836,0.2
12288,6,392,4.75,31,24.482666549999998,0.0003,50,75.32258765697479,0.02181464433670044,0.234130859375,-4.013051172345877,-0.04043382634990848,0.016827919,34.7649040222168,0.2
14336,7,404,4.68,35,25.242666559999996,0.0003,60,75.59060909748078,0.11650258302688599,0.019921875,-3.947334248572588,-0.016766538910451344,0.0066707646,32.82416534423828,0.2
16384,8,383,4.66,42,25.543333209999993,0.0003,70,69.91139534711837,0.2481076717376709,0.0,-3.889201960712671,-0.008570814598351717,0.0035027592,43.3839111328125,0.2
2048,1,1041,4.93,1,15.005333259999997,0.0003,80,62.2062433719635,0.3347499370574951,0.013916015625,-3.820783346891403,-0.014807607054535765,0.00604419,32.165321350097656,0.2
4096,2,663,4.88,6,17.593999899999996,0.0003,10,36.4990628272295,-0.0010371208190917969,0.460888671875,-4.407237097620964,-0.06375677232863382,0.039306358,16.84910774230957,0.2
6144,3,400,4.86,15,20.39733327,0.0003,20,50.13931466341019,0.00397336483001709,0.479638671875,-4.325017923116684,-0.056542572917533104,0.021378152,26.034809112548828,0.2
8192,4,421,4.79,19,22.6319999,0.0003,30,60.44598263502121,0.00219804048538208,0.45068359375,-4.237659852206707,-0.05355288717109943,0.019180901,21.08149528503418,0.2
10240,5,411,4.77,24,22.929999929999997,0.0003,40,71.46201531887054,0.010487020015716553,0.4009765625,-4.108890077471733,-0.043767198931891474,0.018459205,31.02373695373535,0.2
12288,6,385,4.76,31,24.24133322,0.0003,50,69.67966570854188,0.0763283371925354,0.064990234375,-4.035064338892698,-0.028822260777815245,0.012478259,27.99898338317871,0.2
