time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/entropy_loss,train/loss,train/approx_kl,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/clip_fraction,train/clip_range
1,4.81,2048,799,2,13.6013333,,,,,,,,,,
2,4.93,4096,296,13,18.305333189999995,-4.3412366405129434,13.23478889465332,0.03341637,0.0002930760383605957,10,-0.06077983427676372,0.0003,33.02008181810379,0.458642578125,0.2
3,4.8,6144,333,18,18.76866659,-4.268501833081245,25.695152282714844,0.023239719,0.00401991605758667,20,-0.054961928365810306,0.0003,46.23618655800819,0.45107421875,0.2
4,4.82,8192,280,29,21.708666589999996,-4.184422862529755,21.081775665283203,0.017284444,0.01805037260055542,30,-0.05776995569904102,0.0003,52.780936723947526,0.420556640625,0.2
5,4.7,10240,300,34,22.573333189999992,-4.095207025110722,26.669462203979492,0.014968477,0.08448517322540283,40,-0.04176807312396704,0.0003,57.74973823428154,0.232958984375,0.2
6,4.79,12288,273,44,24.792666600000004,-3.992001248896122,24.55946159362793,0.013743183,0.22796034812927246,50,-0.028210653946734963,0.0003,56.74508854150772,0.093896484375,0.2
7,4.69,14336,283,50,24.90466657,-3.857025458663702,29.42082977294922,0.014408815,0.2810435891151428,60,-0.0304465150096803,0.0003,57.74192929267883,0.146630859375,0.2
8,4.73,16384,270,60,27.261333229999995,-3.7408404260873795,33.407039642333984,0.013791658,0.4279860854148865,70,-0.024229554629710038,0.0003,53.43956027030945,0.09580078125,0.2
9,4.53,18432,265,69,25.85466658,-3.623285526037216,16.76730728149414,0.012953855,0.484313428401947,80,-0.016984023421537132,0.0003,53.41072758436203,0.08671875,0.2
10,4.65,20480,270,75,26.703333260000004,-3.5120454274117945,22.705095291137695,0.011820775,0.44243693351745605,90,-0.01519167574151652,0.0003,57.40161529779434,0.083251953125,0.2
11,4.58,22528,268,83,27.341333249999998,-3.4390309445559977,33.877445220947266,0.011811951,0.4753609299659729,100,-0.0164579733973369,0.0003,58.68756437301636,0.135302734375,0.2
12,4.68,24576,271,90,29.2519999,-3.3862421065568924,24.825950622558594,0.012757759,0.5093122720718384,110,-0.01338036714514601,0.0003,53.126768332719806,0.096142578125,0.2
13,4.41,26624,275,96,26.51066659,-3.3307341687381267,33.464454650878906,0.0116079,0.4851078987121582,120,-0.009838396590203047,0.0003,60.40276999473572,0.0759765625,0.2
14,4.56,28672,271,105,27.914666620000002,-3.269066019356251,26.080732345581055,0.010933499,0.48274940252304077,130,-0.011474032721889672,0.0003,65.37385038137435,0.085595703125,0.2
15,4.56,30720,273,112,29.40066661000001,-3.224439848214388,25.408641815185547,0.013321359,0.5109514594078064,140,-0.01761780980450567,0.0003,60.27074110507965,0.16201171875,0.2
16,4.42,32768,272,120,27.295999930000008,-3.1814566113054754,31.40937042236328,0.012632377,0.4801551103591919,150,-0.012353229212749284,0.0003,64.67887914180756,0.153173828125,0.2
17,4.53,34816,274,126,28.55333325,-3.1588007591664793,28.79854393005371,0.0106285345,0.481872022151947,160,-0.006627446152560878,0.0003,66.45120719671249,0.07958984375,0.2
18,4.46,36864,270,136,28.087999940000003,-3.139526394754648,30.698848724365234,0.010271206,0.4985860586166382,170,-0.0061415660893544555,0.0003,60.75398502349854,0.107080078125,0.2
19,4.41,38912,270,143,27.357999919999997,-3.1050773970782757,32.000892639160156,0.015105912,0.47929245233535767,180,-0.01241952060663607,0.0003,67.3452185034752,0.1701171875,0.2
20,4.46,40960,271,150,28.78133322,-3.0659275606274603,33.53996276855469,0.015499428,0.48269736766815186,190,-0.010322680065291934,0.0003,68.62025933265686,0.135693359375,0.2
21,4.5,43008,270,159,29.078666600000005,-3.0392027318477632,33.104522705078125,0.011835143,0.5108615159988403,200,-0.009734414739068598,0.0003,66.6193092226982,0.116943359375,0.2
22,4.55,45056,271,165,29.49266659,-3.0392188310623167,34.66994094848633,0.014333192,0.47049766778945923,210,-0.02132850925117964,0.0003,71.64124261140823,0.211181640625,0.2
23,4.41,47104,269,174,27.718666640000002,-3.0250723361968994,33.52168655395508,0.014208188,0.4879854917526245,220,-0.01124923641618807,0.0003,68.96690322160721,0.2033203125,0.2
24,4.39,49152,271,180,28.291333320000003,-3.0108112834393976,27.39463996887207,0.013078391,0.4779043197631836,230,-0.013923798264295328,0.0003,70.75063939094544,0.196337890625,0.2
25,4.5,51200,269,190,29.197333290000007,-3.007033720612526,33.590476989746094,0.013217071,0.4871278405189514,240,-0.006266451324336231,0.0003,69.91677671670914,0.093994140625,0.2
1,4.86,2048,900,2,14.665999900000001,-2.986324942857027,36.01734161376953,0.012381429,0.4786696434020996,250,-0.009254142557620072,0.0003,70.4120578289032,0.1931640625,0.2
2,4.92,4096,366,11,18.603999899999998,-4.365443694591522,15.113389015197754,0.03425171,4.076957702636719e-05,10,-0.0569532696477836,0.0003,35.202464908361435,0.448681640625,0.2
3,4.68,6144,352,17,18.45533321,-4.278463165462017,24.10131072998047,0.031279683,0.0024566054344177246,20,-0.0576887617178727,0.0003,47.44604135155678,0.457861328125,0.2
4,4.78,8192,318,25,20.869999909999997,-4.182431590557099,25.581417083740234,0.018358056,0.010384798049926758,30,-0.053877985481813086,0.0003,58.0054905295372,0.4451171875,0.2
5,4.76,10240,314,32,22.850666569999998,-4.0924232572317125,25.027828216552734,0.01588424,0.04427534341812134,40,-0.03648098641569959,0.0003,59.3608913898468,0.203271484375,0.2
6,4.8,12288,287,42,25.02466653,-4.005533646047115,23.846450805664062,0.010402631,0.21692591905593872,50,-0.020183831380563788,0.0003,57.42066160440445,0.048974609375,0.2
7,4.72,14336,301,47,25.013999930000004,-3.921578477323055,32.54294967651367,0.01050359,0.26003873348236084,60,-0.018065158986428288,0.0003,59.27504473924637,0.057275390625,0.2
8,4.7,16384,283,57,25.28266662,-3.8082860738039015,20.656644821166992,0.012085721,0.3749030828475952,70,-0.01948212521383539,0.0003,54.03861988782883,0.067724609375,0.2
9,4.62,18432,293,62,26.511333209999993,-3.6943044289946556,32.22162628173828,0.012841307,0.47051864862442017,80,-0.021439587659551763,0.0003,52.06737197041512,0.064990234375,0.2
10,4.65,20480,288,71,27.63066655,-3.597701995074749,22.195833206176758,0.009865366,0.477033793926239,90,-0.01495009662830853,0.0003,56.65937237143517,0.032763671875,0.2
11,4.55,22528,291,77,27.059333260000002,-3.5320637963712214,35.42627716064453,0.0123786405,0.47876691818237305,100,-0.014056952254759381,0.0003,58.712647795677185,0.0923828125,0.2
12,4.48,24576,293,83,27.315999899999998,-3.473820383101702,27.96744155883789,0.00761767,0.44539815187454224,110,-0.008764722649357282,0.0003,62.57448871135712,0.042236328125,0.2
13,4.66,26624,288,92,28.45866658,-3.420945643633604,27.76061248779297,0.012091497,0.507655143737793,120,-0.019563809198734815,0.0003,57.403070104122165,0.147802734375,0.2
14,4.53,28672,288,99,28.171999900000007,-3.3975274473428727,36.392669677734375,0.014233477,0.47576451301574707,130,-0.014018971975747262,0.0003,60.60247507095337,0.083642578125,0.2
15,4.45,30720,285,107,26.90466657,-3.3613158240914345,39.966224670410156,0.0116436705,0.4833969473838806,140,-0.018507873429916798,0.0003,61.82818856239319,0.129541015625,0.2
