snapshot,issue_idx,issue_id,reward_practice,created_at,closed_at,labels
2024-10-01 00:00:00+00:00,11,5598,1.0,2024-09-14 14:16:05+00:00,2024-10-08 21:05:49+00:00,feature-request;closed-for-staleness
2024-10-01 00:00:00+00:00,7,5616,0.5,2024-09-19 15:09:53+00:00,2024-10-09 01:05:52+00:00,bug;closing-soon;service-api
2024-10-01 00:00:00+00:00,8,5609,0.3333333333333333,2024-09-18 21:04:42+00:00,2024-10-09 23:15:37+00:00,feature-request;duplicate
2024-10-01 00:00:00+00:00,4,5625,0.25,2024-09-25 20:37:47+00:00,2024-10-11 15:20:12+00:00,bug;needs-triage
2024-10-01 00:00:00+00:00,9,5605,0.16666666666666666,2024-09-18 11:39:18+00:00,2024-10-31 06:08:36+00:00,response-requested;feature-request;closed-for-staleness
2024-11-01 00:00:00+00:00,8,5650,1.0,2024-10-09 09:52:02+00:00,2024-11-04 21:06:04+00:00,bug;response-requested;closed-for-staleness;crt-client;p2
2024-11-01 00:00:00+00:00,6,5662,0.5,2024-10-11 16:01:04+00:00,2024-11-08 03:09:06+00:00,bug;response-requested;closed-for-staleness;p3
2024-11-01 00:00:00+00:00,10,5634,0.3333333333333333,2024-09-30 09:12:18+00:00,2024-11-09 00:25:03+00:00,bug;closed-for-staleness;p2
2024-11-01 00:00:00+00:00,5,5666,0.2,2024-10-15 08:58:38+00:00,2024-11-30 21:05:42+00:00,bug;closed-for-staleness;p2
2024-11-01 00:00:00+00:00,12,5629,-0.01,2024-09-26 18:23:45+00:00,2024-12-09 23:48:50+00:00,feature-request;service-api
2024-12-01 00:00:00+00:00,9,5697,1.0,2024-11-05 16:47:15+00:00,2024-12-06 06:08:55+00:00,response-requested;documentation;closed-for-staleness;p3
2024-12-01 00:00:00+00:00,17,5631,0.5,2024-09-27 10:42:06+00:00,2024-12-07 03:18:49+00:00,bug;closed-for-staleness;crt-client;p2
2024-12-01 00:00:00+00:00,3,5716,0.3333333333333333,2024-11-20 13:20:20+00:00,2024-12-07 03:18:51+00:00,bug;response-requested;closed-for-staleness;p2
2024-12-01 00:00:00+00:00,0,5732,-0.01,2024-11-27 23:53:19+00:00,,bug;p2
2024-12-01 00:00:00+00:00,1,5730,-0.01,2024-11-26 23:23:11+00:00,2025-01-04 03:06:02+00:00,bug;p2
2025-01-01 00:00:00+00:00,7,5730,1.0,2024-11-26 23:23:11+00:00,2025-01-04 03:06:02+00:00,bug;p2
2025-01-01 00:00:00+00:00,4,5753,0.5,2024-12-16 09:32:36+00:00,2025-01-14 21:05:46+00:00,bug;response-requested;closed-for-staleness;p2
2025-01-01 00:00:00+00:00,10,5710,0.3333333333333333,2024-11-13 14:50:31+00:00,2025-01-15 00:25:53+00:00,bug;closed-for-staleness;crt-client;p2
2025-01-01 00:00:00+00:00,0,5765,-0.01,2024-12-30 01:34:51+00:00,,feature-request;dynamodb-enhanced;p3
2025-01-01 00:00:00+00:00,1,5764,-0.01,2024-12-28 18:28:25+00:00,,bug;p2;ec2-metadata-client
2025-02-01 00:00:00+00:00,6,5828,1.0,2025-01-27 21:11:32+00:00,2025-02-02 00:27:37+00:00,guidance;closed-for-staleness
2025-02-01 00:00:00+00:00,0,5848,0.5,2025-01-31 15:26:15+00:00,2025-02-17 21:05:44+00:00,bug;closed-for-staleness;p2
2025-02-01 00:00:00+00:00,1,5846,-0.01,2025-01-31 05:49:17+00:00,2025-03-05 17:57:13+00:00,bug;needs-triage
2025-02-01 00:00:00+00:00,2,5840,-0.01,2025-01-29 18:48:14+00:00,,feature-request;graalvm;p2
2025-02-01 00:00:00+00:00,3,5839,-0.01,2025-01-29 18:37:05+00:00,2025-07-09 00:17:51+00:00,bug;p2
2025-03-01 00:00:00+00:00,0,5917,1.0,2025-02-28 22:17:24+00:00,2025-03-03 22:57:26+00:00,bug
2025-03-01 00:00:00+00:00,1,5915,0.25,2025-02-28 10:30:45+00:00,2025-03-11 08:08:46+00:00,bug;response-requested;closing-soon;p2
2025-03-01 00:00:00+00:00,2,5909,-0.01,2025-02-27 06:15:35+00:00,,feature-request;p2;migration-tool
2025-03-01 00:00:00+00:00,3,5891,-0.01,2025-02-19 07:44:25+00:00,2025-05-21 18:09:04+00:00,response-requested;feature-request;closed-for-staleness;p2
2025-03-01 00:00:00+00:00,4,5890,-0.01,2025-02-18 23:35:46+00:00,,bug;investigating;p2
2025-04-01 00:00:00+00:00,7,5973,0.5,2025-03-19 11:26:27+00:00,2025-04-03 03:18:59+00:00,bug;response-requested;closed-for-staleness;p2
2025-04-01 00:00:00+00:00,1,5987,0.25,2025-03-25 14:53:16+00:00,2025-04-13 21:06:16+00:00,bug;closed-for-staleness;p2
2025-04-01 00:00:00+00:00,2,5981,0.2,2025-03-24 11:31:47+00:00,2025-04-14 18:08:43+00:00,bug;response-requested;closed-for-staleness;p2
2025-04-01 00:00:00+00:00,0,5996,0.16666666666666666,2025-03-28 08:46:43+00:00,2025-04-16 21:06:05+00:00,bug;response-requested;closed-for-staleness;p3
2025-04-01 00:00:00+00:00,3,5980,0.125,2025-03-22 15:14:57+00:00,2025-04-24 13:43:28+00:00,bug;p2
2025-05-01 00:00:00+00:00,24,5881,0.5,2025-02-12 15:59:41+00:00,2025-05-02 23:12:15+00:00,bug;p2
2025-05-01 00:00:00+00:00,0,6060,0.3333333333333333,2025-04-25 14:30:57+00:00,2025-05-06 17:50:48+00:00,bug;response-requested;p2
2025-05-01 00:00:00+00:00,1,6045,0.2,2025-04-18 00:48:51+00:00,2025-05-16 03:25:28+00:00,bug;response-requested;closed-for-staleness;p2
2025-05-01 00:00:00+00:00,3,6027,0.16666666666666666,2025-04-12 05:18:30+00:00,2025-05-17 00:29:22+00:00,bug;response-requested;closed-for-staleness;transfer-manager;p2
2025-05-01 00:00:00+00:00,2,6030,-0.01,2025-04-14 13:58:21+00:00,2025-06-11 16:59:22+00:00,feature-request;p2
2025-06-01 00:00:00+00:00,0,6144,0.5,2025-05-30 08:23:27+00:00,2025-06-03 17:28:02+00:00,bug;response-requested;p2
2025-06-01 00:00:00+00:00,1,6143,-0.01,2025-05-29 22:00:52+00:00,,bug;response-requested;graalvm
2025-06-01 00:00:00+00:00,2,6141,-0.01,2025-05-29 18:07:46+00:00,,documentation;p2
2025-06-01 00:00:00+00:00,3,6129,-0.01,2025-05-23 14:15:27+00:00,,guidance;third-party
2025-06-01 00:00:00+00:00,4,6127,-0.01,2025-05-22 19:05:27+00:00,,feature-request;p2;cloudfront-utilities
2025-07-01 00:00:00+00:00,38,5839,1.0,2025-01-29 18:37:05+00:00,2025-07-09 00:17:51+00:00,bug;p2
2025-07-01 00:00:00+00:00,0,6218,-0.01,2025-06-28 16:07:50+00:00,,bug;duplicate
2025-07-01 00:00:00+00:00,1,6213,-0.01,2025-06-26 17:09:20+00:00,,feature-request;p2
2025-07-01 00:00:00+00:00,2,6199,-0.01,2025-06-20 08:16:01+00:00,2025-08-23 03:20:55+00:00,bug;service-api;closed-for-staleness
2025-07-01 00:00:00+00:00,3,6198,-0.01,2025-06-19 21:29:40+00:00,2025-09-02 17:28:16+00:00,feature-request;p2
