timesteps,mean_reward,month
2048,-0.4424333000000001,2024-10
4096,-0.1785,2024-10
6144,-0.2351333399999999,2024-10
2048,-0.54800005,2024-11
4096,-0.63930006,2024-11
6144,-0.2490334199999999,2024-11
2048,-0.0945333399999999,2024-12
4096,-0.15576669,2024-12
6144,-0.1418999899999999,2024-12
2048,-0.6943333800000001,2025-01
4096,-0.1770667299999999,2025-01
6144,-0.2630000899999999,2025-01
2048,-0.4213999999999999,2025-02
4096,-0.4407999999999999,2025-02
6144,-0.3112999999999999,2025-02
2048,-0.40093811,2025-03
4096,-0.15891433,2025-03
6144,-0.04713811,2025-03
2048,0.02719363,2025-04
4096,-0.0665579599999999,2025-04
6144,0.12075393,2025-04
2048,-0.2319698499999999,2025-05
4096,-0.1067770199999999,2025-05
6144,-0.0284801999999999,2025-05
2048,-0.1711333699999999,2025-06
4096,-0.2479714299999999,2025-06
6144,-0.2484476399999999,2025-06
2048,-0.0753999999999999,2025-07
4096,-0.2507999999999999,2025-07
6144,-0.1382999999999999,2025-07
2048,-0.10412939,2025-08
4096,-0.1649524,2025-08
6144,0.07600235,2025-08
2048,-0.1598333499999999,2025-09
4096,-0.2049000399999999,2025-09
6144,-0.1008666899999999,2025-09
2048,-0.19900003,2025-10
4096,-0.12010002,2025-10
6144,-0.0664333499999999,2025-10
2048,-0.18491033,2025-11
4096,-0.0587682599999999,2025-11
6144,-0.10418021,2025-11
2048,-0.13724922,2025-12
4096,-0.1341182699999999,2025-12
6144,-0.0931643,2025-12
