timesteps,mean_reward,month
2048,-1.9053,2017-07
4096,-1.888,2017-07
6144,-1.5736,2017-07
8192,-1.5157000000000005,2017-07
10240,-0.9431,2017-07
12288,-0.5453999999999999,2017-07
14336,-0.2883,2017-07
16384,-0.1889999999999999,2017-07
2048,-1.9637999999999995,2017-08
4096,-1.7493,2017-08
6144,-1.7317000000000005,2017-08
8192,-1.5741999999999998,2017-08
10240,-0.8626999999999999,2017-08
12288,-0.6048999999999999,2017-08
14336,-0.3865999999999998,2017-08
16384,-0.3279999999999998,2017-08
2048,-1.8873,2017-09
4096,-1.8694,2017-09
6144,-1.6329000000000002,2017-09
8192,-1.4541,2017-09
10240,-1.0202,2017-09
12288,-0.5250999999999998,2017-09
14336,-0.4464999999999998,2017-09
16384,-0.2476999999999999,2017-09
2048,-1.9846,2017-10
4096,-1.9095,2017-10
6144,-1.5737999999999996,2017-10
8192,-1.2982,2017-10
10240,-0.8825,2017-10
12288,-0.5064999999999998,2017-10
14336,-0.3476999999999998,2017-10
16384,-0.2481,2017-10
2048,-1.9838,2017-11
4096,-1.8881,2017-11
6144,-1.6524,2017-11
8192,-1.5153000000000003,2017-11
10240,-0.9611000000000002,2017-11
12288,-0.5461999999999998,2017-11
14336,-0.3275999999999999,2017-11
16384,-0.3669999999999998,2017-11
2048,-1.9847,2017-12
4096,-1.8882,2017-12
6144,-1.5947000000000002,2017-12
8192,-1.2179,2017-12
10240,-0.8422000000000002,2017-12
12288,-0.6049,2017-12
14336,-0.4461999999999999,2017-12
16384,-0.2282999999999999,2017-12
2048,-1.965,2018-01
4096,-1.7692,2018-01
6144,-1.6909999999999996,2018-01
8192,-1.3769,2018-01
10240,-0.9426,2018-01
12288,-0.4850999999999999,2018-01
14336,-0.4666999999999999,2018-01
16384,-0.2483999999999999,2018-01
2048,-1.9858,2018-02
4096,-1.8295,2018-02
6144,-1.6324,2018-02
8192,-1.1004999999999998,2018-02
10240,-0.9009,2018-02
12288,-0.5847999999999999,2018-02
14336,-0.3670999999999998,2018-02
16384,-0.2482999999999999,2018-02
2048,-1.9457,2018-03
4096,-1.8695000000000004,2018-03
6144,-1.6725,2018-03
8192,-1.2392,2018-03
10240,-1.0012,2018-03
12288,-0.5851999999999998,2018-03
14336,-0.3672999999999999,2018-03
16384,-0.2283999999999999,2018-03
2048,-1.9862,2018-04
4096,-1.9269999999999996,2018-04
6144,-1.6935999999999998,2018-04
8192,-1.4376,2018-04
10240,-0.9612999999999998,2018-04
12288,-0.7425,2018-04
14336,-0.3077,2018-04
16384,-0.2087999999999999,2018-04
2048,-1.9839,2018-05
4096,-1.9664,2018-05
6144,-1.5535000000000003,2018-05
8192,-1.4766,2018-05
10240,-1.0618,2018-05
12288,-0.5062000000000001,2018-05
14336,-0.4264999999999998,2018-05
16384,-0.2679999999999999,2018-05
2048,-1.9844,2018-06
4096,-1.8279,2018-06
6144,-1.6117,2018-06
8192,-1.158,2018-06
10240,-1.0602,2018-06
12288,-0.7446999999999998,2018-06
14336,-0.3674999999999999,2018-06
16384,-0.2476999999999999,2018-06
2048,-1.9245,2018-07
4096,-1.8078000000000003,2018-07
6144,-1.6541,2018-07
8192,-1.3381999999999998,2018-07
10240,-0.9621,2018-07
12288,-0.5848999999999999,2018-07
14336,-0.4076999999999998,2018-07
16384,-0.3871999999999998,2018-07
2048,-1.9441,2018-08
4096,-1.8488,2018-08
6144,-1.5935,2018-08
8192,-1.2778999999999998,2018-08
10240,-0.9214,2018-08
12288,-0.3865999999999998,2018-08
14336,-0.3868999999999997,2018-08
16384,-0.3469999999999998,2018-08
2048,-1.9844,2018-09
4096,-1.8489,2018-09
6144,-1.6136,2018-09
8192,-1.2575,2018-09
10240,-1.0211,2018-09
12288,-0.7834,2018-09
14336,-0.3469999999999997,2018-09
16384,-0.1490999999999999,2018-09
2048,-1.9656,2018-10
4096,-1.8671,2018-10
6144,-1.5728000000000002,2018-10
8192,-1.4965000000000004,2018-10
10240,-0.8427,2018-10
12288,-0.6047999999999999,2018-10
14336,-0.3872999999999998,2018-10
16384,-0.1686999999999999,2018-10
2048,-1.9061,2018-11
4096,-1.9293,2018-11
6144,-1.5935,2018-11
8192,-1.198,2018-11
10240,-1.0204,2018-11
12288,-0.5852999999999998,2018-11
14336,-0.3474999999999998,2018-11
16384,-0.2682,2018-11
2048,-1.9257,2018-12
4096,-1.8302,2018-12
6144,-1.7121999999999995,2018-12
8192,-1.4557000000000002,2018-12
10240,-1.0016,2018-12
12288,-0.6247999999999999,2018-12
14336,-0.4063999999999997,2018-12
16384,-0.3275,2018-12
2048,-1.9861,2019-01
4096,-1.8095,2019-01
6144,-1.7310000000000003,2019-01
8192,-1.1986,2019-01
10240,-0.9419,2019-01
12288,-0.5255999999999998,2019-01
14336,-0.4267999999999998,2019-01
16384,-0.1491999999999999,2019-01
2048,-2.0042000000000004,2019-02
4096,-1.9269000000000005,2019-02
6144,-1.5548,2019-02
8192,-1.3370000000000002,2019-02
10240,-1.0201000000000002,2019-02
12288,-0.5655999999999998,2019-02
14336,-0.2679999999999999,2019-02
16384,-0.1885999999999999,2019-02
2048,-1.9262,2019-03
4096,-1.9087,2019-03
6144,-1.5744999999999998,2019-03
8192,-1.3371000000000002,2019-03
10240,-0.8426,2019-03
12288,-0.5058999999999999,2019-03
14336,-0.4659999999999998,2019-03
16384,-0.2483999999999999,2019-03
2048,-1.8854,2019-04
4096,-1.8293000000000004,2019-04
6144,-1.7129000000000003,2019-04
8192,-1.3771000000000004,2019-04
10240,-1.1011000000000002,2019-04
12288,-0.5854999999999999,2019-04
14336,-0.3272999999999998,2019-04
16384,-0.2086999999999999,2019-04
2048,-1.9638,2019-05
4096,-1.7283000000000002,2019-05
6144,-1.6537,2019-05
8192,-1.3966,2019-05
10240,-1.1384,2019-05
12288,-0.7241,2019-05
14336,-0.3475999999999998,2019-05
16384,-0.1884999999999999,2019-05
2048,-1.9064,2019-06
4096,-1.9471,2019-06
6144,-1.6535,2019-06
8192,-1.3178,2019-06
10240,-1.0014999999999998,2019-06
12288,-0.5844999999999999,2019-06
14336,-0.4070999999999998,2019-06
16384,-0.4270999999999998,2019-06
2048,-1.8878,2019-07
4096,-1.7912,2019-07
6144,-1.6134000000000004,2019-07
8192,-1.4169999999999996,2019-07
10240,-1.1794,2019-07
12288,-0.6646,2019-07
14336,-0.4268999999999998,2019-07
16384,-0.2483999999999999,2019-07
2048,-2.0251,2019-08
4096,-1.8882,2019-08
6144,-1.7532,2019-08
8192,-1.5557,2019-08
10240,-0.9011,2019-08
12288,-0.6253,2019-08
14336,-0.3273999999999999,2019-08
16384,-0.2678999999999999,2019-08
2048,-1.9472,2019-09
4096,-1.75,2019-09
6144,-1.5739,2019-09
8192,-1.2377,2019-09
10240,-1.0799999999999998,2019-09
12288,-0.5848999999999999,2019-09
14336,-0.4071999999999998,2019-09
16384,-0.2685999999999999,2019-09
2048,-1.9646,2019-10
4096,-1.8088,2019-10
6144,-1.6719,2019-10
8192,-1.3369000000000002,2019-10
10240,-1.0802,2019-10
12288,-0.7048000000000001,2019-10
14336,-0.4856999999999998,2019-10
16384,-0.2284999999999999,2019-10
2048,-1.9045,2019-11
4096,-1.8869,2019-11
6144,-1.5151,2019-11
8192,-1.1989,2019-11
10240,-1.0411,2019-11
12288,-0.6646,2019-11
14336,-0.308,2019-11
16384,-0.3474999999999998,2019-11
2048,-1.9264,2019-12
4096,-1.8269999999999995,2019-12
6144,-1.7716999999999996,2019-12
8192,-1.3966000000000005,2019-12
10240,-0.8632000000000001,2019-12
12288,-0.6255,2019-12
14336,-0.3669999999999998,2019-12
16384,-0.2680999999999999,2019-12
2048,-1.9626999999999997,2020-01
4096,-1.9081,2020-01
6144,-1.5719000000000003,2020-01
8192,-1.457,2020-01
10240,-1.1402,2020-01
12288,-0.5657999999999999,2020-01
14336,-0.3279999999999998,2020-01
16384,-0.2677999999999999,2020-01
2048,-2.0042,2020-02
4096,-1.847,2020-02
6144,-1.7526000000000002,2020-02
8192,-1.3777000000000006,2020-02
10240,-0.9022,2020-02
12288,-0.6036999999999999,2020-02
14336,-0.4666999999999999,2020-02
16384,-0.3478999999999997,2020-02
2048,-1.9249,2020-03
4096,-1.8498,2020-03
6144,-1.554,2020-03
8192,-1.4356,2020-03
10240,-1.0021,2020-03
12288,-0.5457999999999998,2020-03
14336,-0.3668999999999999,2020-03
16384,-0.2676999999999999,2020-03
2048,-1.9674,2020-04
4096,-1.8882,2020-04
6144,-1.6129999999999998,2020-04
8192,-1.2584,2020-04
10240,-0.7641999999999999,2020-04
12288,-0.5064999999999998,2020-04
14336,-0.4253999999999998,2020-04
16384,-0.2676999999999999,2020-04
2048,-1.9646,2020-05
4096,-1.8682,2020-05
6144,-1.5547000000000002,2020-05
8192,-1.4359999999999995,2020-05
10240,-0.8617999999999999,2020-05
12288,-0.5456999999999997,2020-05
14336,-0.4255999999999997,2020-05
16384,-0.2682,2020-05
2048,-1.9631000000000003,2020-06
4096,-1.8115,2020-06
6144,-1.8498000000000008,2020-06
8192,-1.1604,2020-06
10240,-0.9593,2020-06
12288,-0.4663999999999998,2020-06
14336,-0.3669999999999998,2020-06
16384,-0.1885999999999999,2020-06
2048,-1.9848,2020-07
4096,-1.8689,2020-07
6144,-1.7721,2020-07
8192,-1.3962999999999997,2020-07
10240,-1.1391,2020-07
12288,-0.7636000000000002,2020-07
14336,-0.3275999999999998,2020-07
16384,-0.2286,2020-07
2048,-2.0048,2020-08
4096,-1.7904,2020-08
6144,-1.4147999999999998,2020-08
8192,-1.2183000000000002,2020-08
10240,-1.0204,2020-08
12288,-0.5251,2020-08
14336,-0.3270999999999998,2020-08
16384,-0.2684999999999999,2020-08
2048,-1.8859,2020-09
4096,-1.9057,2020-09
6144,-1.5741999999999998,2020-09
8192,-1.4568,2020-09
10240,-1.0002,2020-09
12288,-0.6643999999999999,2020-09
14336,-0.3868999999999998,2020-09
16384,-0.2077,2020-09
2048,-1.9641,2020-10
4096,-1.9099,2020-10
6144,-1.6917,2020-10
8192,-1.338,2020-10
10240,-1.0805999999999998,2020-10
12288,-0.4856999999999998,2020-10
14336,-0.3078999999999999,2020-10
16384,-0.3471999999999998,2020-10
2048,-1.966,2020-11
4096,-1.7911999999999997,2020-11
6144,-1.6517000000000002,2020-11
8192,-1.218,2020-11
10240,-1.1222,2020-11
12288,-0.5263999999999999,2020-11
14336,-0.3673999999999998,2020-11
16384,-0.3268999999999999,2020-11
2048,-1.9446,2020-12
4096,-1.7894000000000003,2020-12
6144,-1.7318,2020-12
8192,-1.4566,2020-12
10240,-0.9013,2020-12
12288,-0.5064999999999998,2020-12
14336,-0.3674999999999999,2020-12
16384,-0.1884999999999999,2020-12
2048,-1.9042999999999997,2021-01
4096,-1.8312,2021-01
6144,-1.6920000000000002,2021-01
8192,-1.1199,2021-01
10240,-1.0208000000000002,2021-01
12288,-0.6251999999999999,2021-01
14336,-0.407,2021-01
16384,-0.1295,2021-01
2048,-1.9257,2021-02
4096,-1.9081,2021-02
6144,-1.6338,2021-02
8192,-1.3573000000000002,2021-02
10240,-1.2005,2021-02
12288,-0.4857999999999998,2021-02
14336,-0.2677999999999999,2021-02
16384,-0.2281999999999999,2021-02
2048,-1.925,2021-03
4096,-1.7707,2021-03
6144,-1.7511,2021-03
8192,-1.4364,2021-03
10240,-0.7434999999999999,2021-03
12288,-0.6648,2021-03
14336,-0.3475999999999999,2021-03
16384,-0.2683,2021-03
2048,-1.9254,2021-04
4096,-1.9477,2021-04
6144,-1.7123999999999997,2021-04
8192,-1.2966000000000002,2021-04
10240,-0.9628,2021-04
12288,-0.5660999999999998,2021-04
14336,-0.3275999999999998,2021-04
16384,-0.1883999999999999,2021-04
2048,-1.9056,2021-05
4096,-1.8469999999999995,2021-05
6144,-1.6327,2021-05
8192,-1.2373,2021-05
10240,-0.9609,2021-05
12288,-0.6450999999999999,2021-05
14336,-0.3074999999999999,2021-05
16384,-0.2878,2021-05
2048,-1.9270000000000005,2021-06
4096,-1.8475000000000004,2021-06
6144,-1.7132999999999998,2021-06
8192,-1.3958,2021-06
10240,-1.0018000000000002,2021-06
12288,-0.5850999999999998,2021-06
14336,-0.3674999999999999,2021-06
16384,-0.3275999999999999,2021-06
2048,-1.9439,2021-07
4096,-1.8285,2021-07
6144,-1.6335,2021-07
8192,-1.3361,2021-07
10240,-1.1016,2021-07
12288,-0.5658999999999998,2021-07
14336,-0.3276999999999997,2021-07
16384,-0.2881999999999999,2021-07
2048,-1.9650000000000003,2021-08
4096,-1.8884,2021-08
6144,-1.7524000000000002,2021-08
8192,-1.5760000000000003,2021-08
10240,-1.0029,2021-08
12288,-0.6255999999999998,2021-08
14336,-0.3278999999999998,2021-08
16384,-0.288,2021-08
2048,-1.9257,2021-09
4096,-1.8888,2021-09
6144,-1.7298999999999995,2021-09
8192,-1.3362000000000005,2021-09
10240,-1.0613,2021-09
12288,-0.6849999999999997,2021-09
14336,-0.3864999999999998,2021-09
16384,-0.1886,2021-09
2048,-1.8867,2021-10
4096,-1.8883999999999996,2021-10
6144,-1.7718999999999996,2021-10
8192,-1.2786,2021-10
10240,-0.8819000000000001,2021-10
12288,-0.6446999999999998,2021-10
14336,-0.3471999999999998,2021-10
16384,-0.149,2021-10
2048,-1.8856,2021-11
4096,-1.9084,2021-11
6144,-1.6732,2021-11
8192,-1.4169,2021-11
10240,-0.9414,2021-11
12288,-0.5852999999999999,2021-11
14336,-0.3273999999999998,2021-11
16384,-0.1886999999999999,2021-11
2048,-2.0242,2021-12
4096,-1.9076,2021-12
6144,-1.6932,2021-12
8192,-1.2577,2021-12
10240,-0.9419999999999998,2021-12
12288,-0.6642999999999998,2021-12
14336,-0.4662999999999999,2021-12
16384,-0.1891,2021-12
2048,-1.7504999999999995,2022-01
4096,-1.5350999999999997,2022-01
6144,-1.1585,2022-01
8192,-0.9024,2022-01
10240,-0.5051999999999999,2022-01
12288,-0.5461999999999999,2022-01
14336,-0.4269999999999998,2022-01
16384,-0.3671999999999998,2022-01
2048,-1.5704000000000002,2022-02
4096,-1.3152,2022-02
6144,-1.3558000000000003,2022-02
8192,-0.9413,2022-02
10240,-0.7828999999999999,2022-02
12288,-0.4860999999999998,2022-02
14336,-0.3266999999999999,2022-02
16384,-0.2674999999999999,2022-02
2048,-1.5918,2022-03
4096,-1.5721999999999996,2022-03
6144,-1.1984,2022-03
8192,-0.8611999999999999,2022-03
10240,-0.7040999999999998,2022-03
12288,-0.4264999999999998,2022-03
14336,-0.3475999999999998,2022-03
16384,-0.3474999999999998,2022-03
2048,-1.5915000000000004,2022-04
4096,-1.5526999999999995,2022-04
6144,-1.1795999999999998,2022-04
8192,-1.0011,2022-04
10240,-0.6835,2022-04
12288,-0.4663999999999998,2022-04
14336,-0.4270999999999998,2022-04
16384,-0.3275999999999998,2022-04
2048,-1.7087,2022-05
4096,-1.4147,2022-05
6144,-1.2364,2022-05
8192,-0.9211,2022-05
10240,-0.7222999999999999,2022-05
12288,-0.5664999999999999,2022-05
14336,-0.4263999999999998,2022-05
16384,-0.3867999999999998,2022-05
2048,-1.5718,2022-06
4096,-1.4727,2022-06
6144,-1.1576999999999995,2022-06
8192,-1.0393,2022-06
10240,-0.7634000000000001,2022-06
12288,-0.6642999999999999,2022-06
