timesteps,mean_reward
2048,13.6013333
4096,18.305333189999995
6144,18.76866659
8192,21.70866659
10240,22.573333189999992
12288,24.792666600000004
14336,24.90466657
16384,27.261333229999995
18432,25.85466658
20480,26.703333260000004
22528,27.34133325
24576,29.2519999
26624,26.51066659
28672,27.91466662
30720,29.40066661000001
32768,27.295999930000008
34816,28.55333325
36864,28.087999940000003
38912,27.35799992
40960,28.78133322
43008,29.078666600000005
45056,29.49266659
47104,27.71866664
49152,28.291333320000003
51200,29.197333290000007
2048,14.6659999
4096,18.6039999
6144,18.45533321
8192,20.86999991
10240,22.85066657
12288,25.02466653
14336,25.013999930000004
16384,25.28266662
18432,26.511333209999997
20480,27.63066655
22528,27.05933326
24576,27.3159999
26624,28.45866658
28672,28.171999900000007
30720,26.90466657
32768,27.68999998
34816,30.035333230000003
36864,28.38333327
38912,29.36199998
40960,27.589333300000003
43008,28.67199995
45056,28.72599996
47104,28.26066663
49152,29.83133325
51200,29.37933324
2048,15.80133328
4096,17.07733328
6144,19.82133331
8192,21.77733327
10240,23.48733319
12288,25.01199989
14336,25.81799991
16384,26.32199985
18432,26.287333209999996
20480,26.505333310000005
22528,27.07266658
24576,27.090666559999995
26624,29.40133322
28672,28.27333327
30720,28.96466659
32768,30.06333323
34816,30.529999900000004
36864,29.875999870000005
38912,29.70466662
40960,31.122666560000003
43008,30.113999950000004
45056,27.976666640000005
47104,30.32399986
49152,29.577333269999997
51200,29.223333290000006
2048,14.519333300000005
4096,16.165999980000002
6144,19.77066658
8192,20.43599989
10240,24.03066655999999
12288,25.24733322
14336,25.06999992
16384,25.71799988
18432,26.28933323
20480,27.9153332
22528,26.07199995
24576,28.01266656
26624,28.56666658
28672,28.3959999
30720,29.33666654
32768,28.90399988
34816,29.537333270000005
36864,30.30466657999999
38912,30.49666656
40960,32.2859999
43008,29.04399992
45056,29.93666662
47104,30.279333169999997
49152,31.233999860000004
51200,29.33733323
2048,14.6266666
4096,17.162666589999997
6144,19.14399992
8192,21.2399999
10240,23.27866654
12288,25.38866655
14336,26.11333321
16384,26.60999989
18432,27.54133322
20480,26.03799989
22528,26.36999988
24576,27.863999900000003
26624,27.974666530000004
28672,30.1046665
30720,27.91133323
32768,27.57666657
34816,27.70066656
36864,29.18799992
38912,29.91333319
40960,28.73799993
43008,28.4999999
45056,30.2399999
47104,29.967999909999996
49152,30.241999870000004
51200,29.54333325
2048,14.20199993
4096,17.03799988
6144,19.45266658
8192,21.73933322
10240,22.04933324
12288,25.589999939999995
14336,25.3053332
16384,26.11933325
18432,27.26333326
20480,27.26999992
22528,28.17399994
24576,29.70733321
26624,30.52266659
28672,29.82466656
30720,27.59999989
32768,27.04199995
34816,30.62866661
36864,27.827999899999995
38912,29.66066656
40960,29.5459999
43008,30.36933328
45056,28.053999920000003
47104,28.65533323
49152,28.995999930000004
51200,31.1733332
2048,13.472666599999998
4096,16.944666579999996
6144,17.844666529999998
8192,20.00399991
10240,22.155333230000007
12288,24.661333220000003
14336,23.8399999
16384,25.36599989
18432,26.419333320000007
