snapshot,issue_id,reward,severity,effort_minutes,created_at
2017-07-01 00:00:00+00:00,AZBbMbZQ-vc9aDr8e5xJ,7.666666666666667,HIGH,5,2017-06-28 16:52:27
2017-07-01 00:00:00+00:00,AZCZ4oJd51sfoL4w8vai,3.933333333333333,MEDIUM,1,2017-06-28 16:52:27
2017-07-01 00:00:00+00:00,AZCZ4oJd51sfoL4w8vaj,1.6666666666666667,LOW,5,2017-06-28 16:52:27
2017-07-01 00:00:00+00:00,AW0dNVjkx-vQs4-GMWmQ,1.6666666666666667,LOW,5,2017-06-28 16:52:27
2017-07-01 00:00:00+00:00,AZdCsuIuLnYlTxqC0rnW,0.33333333333333337,INFO,10,2017-06-28 16:52:27
2017-08-01 00:00:00+00:00,AZBbMYzm-vc9aDr8e5sv,7.866666666666666,HIGH,2,2017-06-28 16:52:27
2017-08-01 00:00:00+00:00,AZBbMZwc-vc9aDr8e5t8,7.666666666666667,HIGH,5,2017-07-21 00:59:29
2017-08-01 00:00:00+00:00,AZCZ4oJd51sfoL4w8vai,3.933333333333333,MEDIUM,1,2017-06-28 16:52:27
2017-08-01 00:00:00+00:00,AZCZ4oJd51sfoL4w8vaj,1.6666666666666667,LOW,5,2017-06-28 16:52:27
2017-08-01 00:00:00+00:00,AZUWLzAr36iphIe0EWYI,0.8666666666666667,INFO,2,2017-07-21 00:59:29
2017-09-01 00:00:00+00:00,AZBbMa7_-vc9aDr8e5wB,7.866666666666666,HIGH,2,2017-06-28 16:52:27
2017-09-01 00:00:00+00:00,AZBbMa5B-vc9aDr8e5vw,7.666666666666667,HIGH,5,2017-08-04 23:21:30
2017-09-01 00:00:00+00:00,AZBbMa5B-vc9aDr8e5vx,7.666666666666667,HIGH,5,2017-08-04 23:21:30
2017-09-01 00:00:00+00:00,AZBbMZwc-vc9aDr8e5t8,7.666666666666667,HIGH,5,2017-07-21 00:59:29
2017-09-01 00:00:00+00:00,AZUWLzAr36iphIe0EWYI,0.8666666666666667,INFO,2,2017-07-21 00:59:29
2017-10-01 00:00:00+00:00,AZBbMYzm-vc9aDr8e5sv,7.866666666666666,HIGH,2,2017-06-28 16:52:27
2017-10-01 00:00:00+00:00,AZBbMa5B-vc9aDr8e5vw,7.666666666666667,HIGH,5,2017-08-04 23:21:30
2017-10-01 00:00:00+00:00,AZBbMa5B-vc9aDr8e5vx,7.666666666666667,HIGH,5,2017-08-04 23:21:30
2017-10-01 00:00:00+00:00,AW0dNVhhx-vQs4-GMWlI,1.6666666666666667,LOW,5,2017-09-15 23:33:54
2017-10-01 00:00:00+00:00,AZHnpyYx8YeikcY7eC_j,0.33333333333333337,INFO,10,2017-09-08 17:40:43
2017-11-01 00:00:00+00:00,AZBbMZwc-vc9aDr8e5t8,7.666666666666667,HIGH,5,2017-07-21 00:59:29
2017-11-01 00:00:00+00:00,AW0dNU9rx-vQs4-GMWS-,1.8666666666666667,LOW,2,2017-10-20 18:21:37
2017-11-01 00:00:00+00:00,AW0dNU9rx-vQs4-GMWS_,1.8666666666666667,LOW,2,2017-10-20 18:21:37
2017-11-01 00:00:00+00:00,AW0dNVhhx-vQs4-GMWlI,1.6666666666666667,LOW,5,2017-09-15 23:33:54
2017-11-01 00:00:00+00:00,AZHnpyYx8YeikcY7eC_j,0.33333333333333337,INFO,10,2017-09-08 17:40:43
2017-12-01 00:00:00+00:00,AZBbMa5B-vc9aDr8e5vx,7.666666666666667,HIGH,5,2017-08-04 23:21:30
2017-12-01 00:00:00+00:00,AW0dNU9rx-vQs4-GMWS-,1.8666666666666667,LOW,2,2017-10-20 18:21:37
2017-12-01 00:00:00+00:00,AW0dNU9rx-vQs4-GMWS_,1.8666666666666667,LOW,2,2017-10-20 18:21:37
2017-12-01 00:00:00+00:00,AZUWL0pW36iphIe0EWbC,0.8666666666666667,INFO,2,2017-11-14 02:06:40
2017-12-01 00:00:00+00:00,AZdbKlEEpVnUlWOCbur4,0.33333333333333337,INFO,10,2017-11-14 18:54:56
2018-01-01 00:00:00+00:00,AZBbMa7_-vc9aDr8e5wC,7.866666666666666,HIGH,2,2017-06-28 16:52:27
2018-01-01 00:00:00+00:00,AZUWL0l636iphIe0EWa4,0.8666666666666667,INFO,2,2017-12-14 23:22:14
2018-01-01 00:00:00+00:00,AZUWL0l636iphIe0EWa3,0.8666666666666667,INFO,2,2017-12-14 23:22:14
2018-01-01 00:00:00+00:00,AZUWL0nd36iphIe0EWa-,0.8666666666666667,INFO,2,2017-12-14 23:22:14
