issue_id,created_at,closed_at,labels,rank,snapshot
5598,2024-09-14 14:16:05+00:00,2024-10-08 21:05:49+00:00,feature-request;closed-for-staleness,1,2024-10-01 00:00:00+00:00
5616,2024-09-19 15:09:53+00:00,2024-10-09 01:05:52+00:00,bug;closing-soon;service-api,2,2024-10-01 00:00:00+00:00
5609,2024-09-18 21:04:42+00:00,2024-10-09 23:15:37+00:00,feature-request;duplicate,3,2024-10-01 00:00:00+00:00
5625,2024-09-25 20:37:47+00:00,2024-10-11 15:20:12+00:00,bug;needs-triage,4,2024-10-01 00:00:00+00:00
5597,2024-09-13 17:25:38+00:00,2024-10-29 00:26:37+00:00,bug;response-requested;closed-for-staleness;crt-client;p2,5,2024-10-01 00:00:00+00:00
5650,2024-10-09 09:52:02+00:00,2024-11-04 21:06:04+00:00,bug;response-requested;closed-for-staleness;crt-client;p2,1,2024-11-01 00:00:00+00:00
5662,2024-10-11 16:01:04+00:00,2024-11-08 03:09:06+00:00,bug;response-requested;closed-for-staleness;p3,2,2024-11-01 00:00:00+00:00
5634,2024-09-30 09:12:18+00:00,2024-11-09 00:25:03+00:00,bug;closed-for-staleness;p2,3,2024-11-01 00:00:00+00:00
5674,2024-10-22 20:23:36+00:00,2024-11-21 03:14:50+00:00,response-requested;feature-request;closed-for-staleness;p2,4,2024-11-01 00:00:00+00:00
5666,2024-10-15 08:58:38+00:00,2024-11-30 21:05:42+00:00,bug;closed-for-staleness;p2,5,2024-11-01 00:00:00+00:00
5697,2024-11-05 16:47:15+00:00,2024-12-06 06:08:55+00:00,response-requested;documentation;closed-for-staleness;p3,1,2024-12-01 00:00:00+00:00
5631,2024-09-27 10:42:06+00:00,2024-12-07 03:18:49+00:00,bug;closed-for-staleness;crt-client;p2,2,2024-12-01 00:00:00+00:00
5716,2024-11-20 13:20:20+00:00,2024-12-07 03:18:51+00:00,bug;response-requested;closed-for-staleness;p2,3,2024-12-01 00:00:00+00:00
5629,2024-09-26 18:23:45+00:00,2024-12-09 23:48:50+00:00,feature-request;service-api,4,2024-12-01 00:00:00+00:00
5719,2024-11-21 10:49:10+00:00,2024-12-10 21:05:58+00:00,bug;response-requested;closed-for-staleness;p3,5,2024-12-01 00:00:00+00:00
