time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,train/entropy_loss,train/clip_fraction,train/loss,train/value_loss,train/clip_range,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/n_updates
1,7.25379388,4.97,2048,2,924,,,,,,,,,,
2,7.9546462700000005,4.97,4096,8,488,-5.844585564732552,0.475244140625,3.262253761291504,7.188765238970518,0.2,0.0003,0.0007367134094238281,-0.06502745838661213,0.02758749,10
3,8.73099211,4.94,6144,14,424,-5.7763924732804295,0.47470703125,3.2528371810913086,9.798921118676663,0.2,0.0003,5.4836273193359375e-06,-0.060716329750721346,0.036163844,20
4,10.643323250000003,4.96,8192,20,399,-5.663945242762566,0.4873046875,7.959841251373291,13.005429895222187,0.2,0.0003,6.556510925292969e-07,-0.061195580955245535,0.03520854,30
5,11.775555480000003,4.95,10240,26,385,-5.522117145359516,0.518994140625,7.868823051452637,18.8857269436121,0.2,0.0003,2.205371856689453e-06,-0.06659890428418294,0.02994483,40
6,14.42131948,4.91,12288,32,376,-5.384633353352546,0.503662109375,16.978378295898438,23.822876650094987,0.2,0.0003,1.0728836059570312e-06,-0.06646614057244733,0.027178764,50
7,15.479238079999998,4.88,14336,38,369,-5.226616185903549,0.536181640625,13.187959671020508,29.97126974463463,0.2,0.0003,6.556510925292969e-07,-0.06961290568578989,0.023521477,60
8,15.771558149999997,4.81,16384,44,364,-5.075443392992019,0.466064453125,24.359365463256836,35.084420275688174,0.2,0.0003,6.556510925292969e-07,-0.05742396912828553,0.02263706,70
1,7.76196242,4.95,2048,2,845,-4.880365270376205,0.4556640625,21.137426376342773,40.40441455245018,0.2,0.0003,2.1457672119140625e-06,-0.058208104554796594,0.023573576,80
2,9.016682000000001,4.97,4096,11,353,-5.990504172444344,0.49345703125,4.733509540557861,7.965945417433977,0.2,0.0003,-0.0008798837661743164,-0.06656834563764277,0.027560297,10
3,9.76166893,4.97,6144,29,209,-5.929523688554764,0.468115234375,5.159424304962158,11.852451698482037,0.2,0.0003,0.0,-0.062356976018054414,0.034117796,20
4,10.702644040000001,4.98,8192,54,150,-5.830633814632892,0.555615234375,9.12951946258545,14.727416107058525,0.2,0.0003,0.0,-0.07321044170530513,0.034424644,30
5,12.68997136,4.92,10240,62,162,-5.7025695651769635,0.53046875,10.728521347045898,20.367320683598518,0.2,0.0003,1.7881393432617188e-07,-0.07160826124309097,0.031001322,40
6,14.659596939999998,4.99,12288,70,173,-5.580111166834831,0.50673828125,11.834446907043457,25.160483998060226,0.2,0.0003,4.76837158203125e-07,-0.06643660459085368,0.028142743,50
7,14.90780955,4.86,14336,79,180,-5.4416507735848425,0.495849609375,15.345459938049316,30.43699291944504,0.2,0.0003,4.172325134277344e-07,-0.06369630505505483,0.025056893,60
8,16.147656069999996,4.8,16384,87,188,-5.306542108952999,0.515771484375,18.66676139831543,34.57942299246788,0.2,0.0003,1.1920928955078125e-07,-0.06258140726713464,0.028903298,70
1,8.218475759999999,5.0,2048,2,718,-5.089496225118637,0.511474609375,16.433734893798828,40.680257791280745,0.2,0.0003,0.0,-0.06618589948920998,0.02588283,80
2,8.2758714,5.0,4096,12,340,-6.1883874848485,0.49072265625,4.420844078063965,8.202740736305714,0.2,0.0003,-0.00013339519500732422,-0.06845356055637239,0.025953345,10
3,9.399990120000002,4.99,6144,20,292,-6.140911836922169,0.51767578125,6.62427282333374,10.107327511906623,0.2,0.0003,1.7881393432617188e-07,-0.07016124601359479,0.03168312,20
4,10.107107650000003,4.99,8192,29,274,-6.046190473437309,0.52783203125,6.173483848571777,13.331883174180984,0.2,0.0003,0.0,-0.07015651025285478,0.035174314,30
5,11.94446645,4.97,10240,38,264,-5.932570785284042,0.52880859375,9.216715812683105,17.259913140535353,0.2,0.0003,0.0,-0.07009807000868022,0.030950513,40
6,14.476660469999999,4.97,12288,47,258,-5.800570519268513,0.54560546875,7.64286994934082,22.059342989325522,0.2,0.0003,5.960464477539063e-08,-0.0719381603950751,0.033439614,50
7,15.453814040000003,4.91,14336,56,253,-5.653878353536129,0.51884765625,15.60673999786377,27.84133106470108,0.2,0.0003,0.0,-0.06855114506615792,0.028335169,60
8,16.942494879999998,4.94,16384,65,250,-5.479984748363495,0.525,13.320107460021973,34.73910570144653,0.2,0.0003,2.384185791015625e-07,-0.06532527489762288,0.02829234,70
1,10.18601326,4.99,2048,3,628,-5.3006514176726345,0.509814453125,23.206335067749023,40.96297183632851,0.2,0.0003,-1.1920928955078125e-07,-0.0639135364210233,0.026492007,80
2,10.042794930000001,5.0,4096,15,267,-6.664002631604672,0.523974609375,4.872948169708252,10.214225415885448,0.2,0.0003,-0.00011110305786132812,-0.07680046058667359,0.02634298,10
3,11.618755589999996,5.0,6144,25,239,-6.6273299410939215,0.522119140625,11.766510963439941,14.02163195759058,0.2,0.0003,-1.1920928955078125e-07,-0.07283287404861767,0.028511189,20
4,12.172666840000002,5.0,8192,35,229,-6.579537858068943,0.50009765625,8.26169204711914,18.851568731665612,0.2,0.0003,-1.1920928955078125e-07,-0.06981823416135739,0.03487732,30
5,14.04281626,4.98,10240,45,225,-6.486360441148281,0.542822265625,10.214884757995605,21.758118933439256,0.2,0.0003,-1.1920928955078125e-07,-0.07785974310245365,0.034134757,40
6,14.990077979999999,4.95,12288,55,223,-6.363422973453998,0.561669921875,14.071974754333496,29.559734046459198,0.2,0.0003,0.0,-0.07912903833494056,0.035785224,50
7,17.59738473,4.9,14336,65,219,-6.239938433468342,0.562939453125,21.610383987426758,37.80223311781883,0.2,0.0003,1.7881393432617188e-07,-0.08026676807494368,0.030383816,60
8,18.417592499999998,4.95,16384,75,217,-6.100767748057843,0.560107421875,20.064922332763672,45.435264110565186,0.2,0.0003,0.0,-0.0765316567820264,0.032048214,70
1,10.9442446,5.0,2048,2,715,-5.952969194948674,0.496533203125,28.233840942382812,51.89595985412598,0.2,0.0003,0.0,-0.06749428526964038,0.030621417,80
2,10.61978918,5.0,4096,14,280,-6.7980317831039425,0.5271484375,9.161070823669434,12.438747355341912,0.2,0.0003,0.00014472007751464844,-0.08157815371378092,0.027628345,10
3,11.67735349,4.99,6144,26,234,-6.7609110698103905,0.57802734375,6.834769248962402,15.099695345759391,0.2,0.0003,1.1920928955078125e-07,-0.08151290233072359,0.032746993,20
4,13.19751203,5.0,8192,38,215,-6.704904691874981,0.551416015625,9.956887245178223,17.813750633597373,0.2,0.0003,0.0,-0.07561579136818182,0.032607295,30
5,14.346362370000001,5.0,10240,49,205,-6.641280572116375,0.545556640625,11.705455780029297,20.894368523359297,0.2,0.0003,0.0,-0.07548542687291046,0.03245361,40
6,14.042020779999998,5.0,12288,61,199,-6.561801189184189,0.532763671875,17.23644256591797,26.096611273288726,0.2,0.0003,0.0,-0.07327994456572924,0.0333064,50
