time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/approx_kl,train/value_loss,train/n_updates,train/clip_range,train/loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/entropy_loss
687,4.89,-0.11373336999999996,1,2048,2,,,,,,,,,,
519,4.75,-0.18196671999999997,2,4096,7,0.2232421875,0.015493967,0.5953448872547596,10,0.2,0.3318471610546112,-0.025206309826171492,-0.005009055137634277,0.0003,-3.7493451736867427
492,4.72,-0.31686672999999993,3,6144,12,0.303173828125,0.016655196,0.6330770313274116,20,0.2,0.25885850191116333,-0.029749815218383446,-0.003468632698059082,0.0003,-3.7285803616046906
484,4.79,-0.04543337999999997,4,8192,16,0.302734375,0.017627707,0.6868640307337046,30,0.2,0.29249224066734314,-0.030289610619365703,0.0008575320243835449,0.0003,-3.7115076325833796
477,4.84,-0.008133389999999996,5,10240,21,0.219384765625,0.015424522,0.6577591466717422,40,0.2,0.26465216279029846,-0.023740759358042852,0.0021737217903137207,0.0003,-3.690065783262253
474,4.67,-0.029366749999999976,6,12288,25,0.257763671875,0.017161246,0.615709128510207,50,0.2,0.32485756278038025,-0.02755417400621809,-0.004976868629455566,0.0003,-3.6798413999378683
469,4.66,-0.007266710000000005,7,14336,30,0.25771484375,0.015734263,0.7507088332436979,60,0.2,0.344920814037323,-0.028092642038245685,-0.0008444786071777344,0.0003,-3.6392526380717753
465,4.75,0.07916656999999999,8,16384,35,0.29453125,0.018158015,0.7996632980182767,70,0.2,0.35827985405921936,-0.029459138557649568,0.0016546249389648438,0.0003,-3.5956492155790327
465,4.8,0.33846656,9,18432,39,0.184912109375,0.01702308,0.8733641230501235,80,0.2,0.4143860638141632,-0.0231521933543263,0.006506085395812988,0.0003,-3.5365746080875398
463,4.76,0.34643322,10,20480,44,0.248681640625,0.018232634,0.7706944055855274,90,0.2,0.49576476216316223,-0.029062238639744463,0.027021169662475586,0.0003,-3.4784125752747057
463,4.85,0.32673326,11,22528,48,0.258056640625,0.018273022,0.8533079392276705,100,0.2,0.4240400791168213,-0.03604899095371365,0.03346365690231323,0.0003,-3.41237348690629
462,4.81,0.59219991,12,24576,53,0.293359375,0.01967235,0.7828512525185942,110,0.2,0.36948877573013306,-0.037046738262870346,0.04369467496871948,0.0003,-3.3016088917851447
460,4.78,0.90019992,13,26624,57,0.30439453125,0.020496733,0.7459307175129652,120,0.2,0.532858669757843,-0.037497540668118744,0.10638338327407837,0.0003,-3.1909449853003027
460,4.87,1.0381332500000002,14,28672,62,0.29208984375,0.019603634,0.6773711447604001,130,0.2,0.3057003617286682,-0.033881312472658465,0.1934838891029358,0.0003,-3.0229629680514334
459,4.92,1.1869998700000002,15,30720,66,0.306396484375,0.021707393,0.6100621214602142,140,0.2,0.2741466164588928,-0.027568421280011534,0.22258144617080688,0.0003,-2.935179082304239
459,4.81,1.1226332099999998,16,32768,71,0.302978515625,0.018672267,0.5609438004437834,150,0.2,0.31314772367477417,-0.027973802281485403,0.2918326258659363,0.0003,-2.809720388054848
459,4.87,1.24783318,17,34816,75,0.274072265625,0.020924984,0.5695573669858277,160,0.2,0.2758690416812897,-0.02705717840581201,0.30453914403915405,0.0003,-2.769336301833391
458,4.87,1.27913314,18,36864,80,0.33818359375,0.021248028,0.4902705800253898,170,0.2,0.23998242616653442,-0.03090830340515822,0.34771764278411865,0.0003,-2.5883163012564183
458,4.89,1.40513318,19,38912,84,0.310107421875,0.020090573,0.5288015661295503,180,0.2,0.18307888507843018,-0.023061695574142504,0.36954671144485474,0.0003,-2.525871628522873
458,4.88,1.4823997800000004,20,40960,89,0.31630859375,0.026656352,0.36546836205525324,190,0.2,0.13045915961265564,-0.020117381104500964,0.4847276210784912,0.0003,-2.4596588134765627
457,4.97,1.5951997500000001,21,43008,93,0.27138671875,0.026876185,0.2917118308949284,200,0.2,0.2001970112323761,-0.014956908492604271,0.5642894506454468,0.0003,-2.3311610020697118
457,4.99,1.7328997099999999,22,45056,98,0.297265625,0.021386007,0.285738161863992,210,0.2,0.16231894493103027,-0.02068996211164631,0.5811843872070312,0.0003,-2.215633186325431
457,4.98,1.72853303,23,47104,103,0.308837890625,0.021891207,0.2183047250378877,220,0.2,0.09017054736614227,-0.010750614474818575,0.6553338766098022,0.0003,-2.118200661242008
456,4.97,1.6767996799999998,24,49152,107,0.231787109375,0.022869695,0.24184535840759053,230,0.2,0.19372263550758362,-0.012792114539479371,0.6374307870864868,0.0003,-1.9910394769161939
456,4.99,1.8043996899999997,25,51200,112,0.210400390625,0.013241483,0.26218436589697375,240,0.2,0.12109352648258209,-0.003519456891808659,0.6318458914756775,0.0003,-1.9293226577341556
