snapshot,issue_idx,issue_id,reward_practice,created_at,closed_at,labels
2024-08-01 00:00:00+00:00,3,5427,1.0,2024-07-25 06:09:51+00:00,2024-08-05 00:23:57+00:00,bug;closed-for-staleness;p3
2024-08-01 00:00:00+00:00,2,5431,0.5,2024-07-26 11:28:29+00:00,2024-08-16 03:07:09+00:00,bug;response-requested;closed-for-staleness;p3
2024-08-01 00:00:00+00:00,5,5430,0.3333333333333333,2024-07-24 03:22:39+00:00,2024-08-16 08:47:21+00:00,bug;response-requested;p2
2024-08-01 00:00:00+00:00,7,5421,-0.01,2024-07-23 23:34:13+00:00,,feature-request;p2
2024-08-01 00:00:00+00:00,0,5444,-0.01,2024-07-31 15:37:53+00:00,,bug;p2
2024-09-01 00:00:00+00:00,6,5527,1.0,2024-08-22 18:55:05+00:00,2024-09-04 18:09:05+00:00,bug;p2
2024-09-01 00:00:00+00:00,5,5528,0.5,2024-08-22 20:42:09+00:00,2024-09-10 00:24:49+00:00,bug;response-requested;closed-for-staleness;p2
2024-09-01 00:00:00+00:00,4,5529,0.3333333333333333,2024-08-23 02:18:10+00:00,2024-09-10 06:08:00+00:00,bug;response-requested;closed-for-staleness;dynamodb-enhanced;p2
2024-09-01 00:00:00+00:00,0,5548,0.25,2024-08-31 01:06:21+00:00,2024-09-11 18:23:20+00:00,bug;p2
2024-09-01 00:00:00+00:00,1,5547,-0.01,2024-08-30 12:35:11+00:00,,feature-request;p3
2024-10-01 00:00:00+00:00,11,5598,1.0,2024-09-14 14:16:05+00:00,2024-10-08 21:05:49+00:00,feature-request;closed-for-staleness
2024-10-01 00:00:00+00:00,0,5635,-0.01,2024-09-30 11:33:20+00:00,2025-06-02 21:19:42+00:00,bug;p2
2024-10-01 00:00:00+00:00,1,5634,-0.01,2024-09-30 09:12:18+00:00,2024-11-09 00:25:03+00:00,bug;closed-for-staleness;p2
2024-10-01 00:00:00+00:00,2,5631,-0.01,2024-09-27 10:42:06+00:00,2024-12-07 03:18:49+00:00,bug;closed-for-staleness;crt-client;p2
2024-10-01 00:00:00+00:00,3,5629,-0.01,2024-09-26 18:23:45+00:00,2024-12-09 23:48:50+00:00,feature-request;service-api
2024-11-01 00:00:00+00:00,20,5569,0.2,2024-09-06 11:46:52+00:00,2024-11-13 03:09:44+00:00,bug;closed-for-staleness;p2
2024-11-01 00:00:00+00:00,3,5674,0.16666666666666666,2024-10-22 20:23:36+00:00,2024-11-21 03:14:50+00:00,response-requested;feature-request;closed-for-staleness;p2
