timesteps,mean_reward,month
2048,-0.7343001299999997,2024-08
4096,-0.8896334499999999,2024-08
6144,-0.19263349,2024-08
8192,0.03043318,2024-08
10240,0.32169981,2024-08
12288,0.92073314,2024-08
14336,0.99279978,2024-08
16384,1.18349976,2024-08
2048,-0.1769000599999999,2024-09
4096,-0.1339000699999999,2024-09
6144,-0.36663339,2024-09
8192,-0.1055333899999999,2024-09
10240,-0.13710011,2024-09
12288,0.2016998799999999,2024-09
14336,0.4190332099999999,2024-09
16384,0.4337998799999999,2024-09
2048,-0.2231333399999999,2024-10
4096,-0.35368097,2024-10
6144,-0.0757571699999999,2024-10
8192,-0.0906285499999999,2024-10
10240,-0.0052238499999999,2024-10
12288,0.1724333,2024-10
14336,0.1395189999999999,2024-10
16384,0.2712856999999999,2024-10
2048,-0.20877702,2024-11
4096,-0.1034595899999999,2024-11
6144,-0.2124349599999999,2024-11
8192,0.0080293099999999,2024-11
10240,-0.09356353,2024-11
12288,0.07377297,2024-11
14336,0.0628396,2024-11
16384,0.13858013,2024-11
2048,-0.2763,2024-12
4096,-0.1581380999999999,2024-12
6144,-0.19831192,2024-12
8192,0.0324499699999999,2024-12
10240,0.00345952,2024-12
12288,0.3069761299999999,2024-12
14336,0.10799754,2024-12
16384,0.2216094599999999,2024-12
2048,-0.3092000299999999,2025-01
4096,-0.26626671,2025-01
6144,-0.03656672,2025-01
8192,0.01689996,2025-01
10240,0.05229992,2025-01
12288,0.01173323,2025-01
14336,-0.00096675,2025-01
16384,0.03439992,2025-01
2048,-0.1687000399999999,2025-02
4096,-0.4206333599999998,2025-02
6144,-0.1666000499999999,2025-02
8192,-0.12376671,2025-02
10240,-0.0387000599999999,2025-02
12288,-0.10323338,2025-02
14336,0.04979994,2025-02
16384,0.33249992,2025-02
2048,-0.1114047799999999,2025-03
4096,-0.2016476499999999,2025-03
6144,-0.0411023899999999,2025-03
8192,-0.0640214899999999,2025-03
10240,-0.0028404899999999,2025-03
12288,-0.0014048199999999,2025-03
14336,-0.0014643099999999,2025-03
16384,0.18556186,2025-03
2048,0.0129110799999999,2025-04
4096,-0.0981579299999999,2025-04
6144,-0.0091849399999999,2025-04
8192,0.09059122,2025-04
10240,-0.0003087399999999,2025-04
12288,-0.2147207,2025-04
14336,0.20200632,2025-04
16384,0.24631344,2025-04
2048,-0.0867412999999999,2025-05
4096,-0.0634905099999999,2025-05
6144,-0.0367246399999999,2025-05
8192,0.0542968,2025-05
10240,0.01514125,2025-05
12288,0.06629759,2025-05
14336,0.1294373,2025-05
16384,0.0161595,2025-05
2048,-0.2325047899999999,2025-06
4096,-0.28578096,2025-06
6144,-0.0428667,2025-06
8192,-0.0739904899999999,2025-06
10240,0.0768237799999999,2025-06
12288,0.01049997,2025-06
14336,0.03503329,2025-06
16384,0.22837139,2025-06
2048,-0.1662999999999999,2025-07
4096,-0.3099999999999999,2025-07
6144,-0.1714999999999999,2025-07
8192,-0.1697,2025-07
10240,-0.0704999999999999,2025-07
12288,-0.2037999999999999,2025-07
14336,0.0006,2025-07
16384,0.0338,2025-07
2048,-0.06951509,2025-08
4096,-0.1158373099999999,2025-08
6144,-0.0623888799999999,2025-08
8192,-0.0709928699999999,2025-08
10240,0.08662461,2025-08
12288,0.06177539,2025-08
14336,0.1284103,2025-08
16384,0.2631976099999999,2025-08
2048,-0.1777667099999999,2025-09
4096,-0.22600001,2025-09
6144,-0.0419000099999999,2025-09
8192,-0.1476333599999999,2025-09
10240,-0.0032666799999999,2025-09
12288,-0.1601666999999999,2025-09
14336,0.0553333,2025-09
16384,-0.03140003,2025-09
2048,-0.15503335,2025-10
4096,-0.16950002,2025-10
6144,-0.2184333799999999,2025-10
8192,-0.1136333599999999,2025-10
10240,-0.0400666999999999,2025-10
12288,-0.1953666899999999,2025-10
14336,0.06073329,2025-10
16384,-0.0716000499999999,2025-10
