timesteps,mean_reward,month
2048,-0.6446001000000001,2024-08
4096,-0.6418001200000001,2024-08
6144,-0.37320014,2024-08
2048,-0.4880667399999999,2024-09
4096,-0.21580008,2024-09
6144,-0.3910000899999999,2024-09
2048,-0.21248097,2024-10
4096,-0.1521238299999999,2024-10
6144,0.0322523699999999,2024-10
2048,-0.15718493,2024-11
4096,-0.0839142899999999,2024-11
6144,-0.08185479,2024-11
2048,-0.2218905099999999,2024-12
4096,-0.2139095299999999,2024-12
6144,-0.0964928899999999,2024-12
2048,-0.3284666899999999,2025-01
4096,-0.2886000299999999,2025-01
6144,-0.1648333799999999,2025-01
2048,-0.2508000099999999,2025-02
4096,-0.0966333599999999,2025-02
6144,-0.3965667199999999,2025-02
2048,-0.08672142,2025-03
4096,-0.16734286,2025-03
6144,0.0331952599999999,2025-03
2048,-0.18846669,2025-04
4096,-0.1983936499999999,2025-04
6144,-0.0078222699999999,2025-04
2048,-0.17283653,2025-05
4096,-0.0618833599999999,2025-05
6144,-0.0739738299999999,2025-05
2048,-0.2352666799999999,2025-06
4096,-0.17493335,2025-06
6144,-0.14908573,2025-06
2048,-0.2110999999999999,2025-07
4096,-0.0806999999999999,2025-07
6144,-0.196,2025-07
2048,-0.0854563499999999,2025-08
4096,-0.1213166799999999,2025-08
6144,-0.0350667099999999,2025-08
2048,-0.1387666699999999,2025-09
4096,-0.01483335,2025-09
6144,-0.19656669,2025-09
2048,-0.1285666899999999,2025-10
4096,-0.08090001,2025-10
6144,-0.0883333599999999,2025-10
